"
Translate to Spanish:
to be
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/830/a_sound.mp3?1326221611 type=""audio/mpeg""></audio><br>

ser, estar
"
"
Translate to Spanish:
to speak, to talk
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/829/a_sound.mp3?1326221611 type=""audio/mpeg""></audio><br>

hablar
"
"
Translate to Spanish:
to go out, to leave
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/831/a_sound.mp3?1326221611 type=""audio/mpeg""></audio><br>

salir
"
"
Translate to Spanish:
to think that, to believe that
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/832/a_sound.mp3?1326221611 type=""audio/mpeg""></audio><br>

pensar que, creer que
"
"
Translate to Spanish:
to hear
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/833/a_sound.mp3?1326221612 type=""audio/mpeg""></audio><br>

oír
"
"
Translate to Spanish:
to write
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/834/a_sound.mp3?1326221612 type=""audio/mpeg""></audio><br>

escribir
"
"
Translate to Spanish:
to begin, to start
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/835/a_sound.mp3?1326221612 type=""audio/mpeg""></audio><br>

empezar, comenzar
"
"
Translate to Spanish:
to know (a fact)
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/860/a_sound.mp3?1326221616 type=""audio/mpeg""></audio><br>

saber (un hecho)
"
"
Translate to Spanish:
to know(someone), to meet
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/836/a_sound.mp3?1326221612 type=""audio/mpeg""></audio><br>

conocer
"
"
Translate to Spanish:
to come
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/837/a_sound.mp3?1326221612 type=""audio/mpeg""></audio><br>

venir
"
"
Translate to Spanish:
to read
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/838/a_sound.mp3?1326221612 type=""audio/mpeg""></audio><br>

leer
"
"
Translate to Spanish:
to see
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/839/a_sound.mp3?1326221612 type=""audio/mpeg""></audio><br>

ver
"
"
Translate to Spanish:
to live
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/841/a_sound.mp3?1326221613 type=""audio/mpeg""></audio><br>

vivir
"
"
Translate to Spanish:
to drink
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/842/a_sound.mp3?1326221613 type=""audio/mpeg""></audio><br>

beber, tomar
"
"
Translate to Spanish:
to give
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/843/a_sound.mp3?1326221613 type=""audio/mpeg""></audio><br>

dar
"
"
Translate to Spanish:
to buy
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/844/a_sound.mp3?1326221613 type=""audio/mpeg""></audio><br>

comprar
"
"
Translate to Spanish:
to study
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/845/a_sound.mp3?1326221614 type=""audio/mpeg""></audio><br>

estudiar
"
"
Translate to Spanish:
to construct, to build
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/846/a_sound.mp3?1326221614 type=""audio/mpeg""></audio><br>

construir
"
"
Translate to Spanish:
to say, to tell
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/847/a_sound.mp3?1326221614 type=""audio/mpeg""></audio><br>

decir
"
"
Translate to Spanish:
to lose
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/848/a_sound.mp3?1326221614 type=""audio/mpeg""></audio><br>

perder
"
"
Translate to Spanish:
to want
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/849/a_sound.mp3?1326221614 type=""audio/mpeg""></audio><br>

querer
"
"
Translate to Spanish:
to have to, must
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/850/a_sound.mp3?1326221614 type=""audio/mpeg""></audio><br>

tener que, deber
"
"
Translate to Spanish:
to be able to
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/851/a_sound.mp3?1326221614 type=""audio/mpeg""></audio><br>

poder
"
"
Translate to Spanish:
to sleep
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/852/a_sound.mp3?1326221615 type=""audio/mpeg""></audio><br>

dormir
"
"
Translate to Spanish:
to count
","
<audio controls><source src=""https://s3.amazonaws.com/brainscape-prod/system/cm/000/405/853/a_sound.mp3?1326221615 type=""audio/mpeg""></audio><br>

contar
"
